,query,seed_keyword,competition,avg_cpc,1,2,3,4,5,6,7,8,9,10,11,12
190,paris londres en tgv,train paris london,0.0,0.0,10,10,10,20,20,20,20,10,10,10,10,10
191,shuttle londres,train paris london,0.0,0.0,50,210,480,590,590,590,590,480,390,260,260,880
192,vol londres paris,train paris london,5.1,0.15,590,2400,1600,1600,1900,1900,1900,1600,1600,1600,1300,1300
193,eurostar reservation londres paris,train paris london,0.0,0.51,20,10,10,10,10,10,10,10,0,10,10,10
194,paris londre en tgv,train paris london,0.0,0.0,10,10,10,10,10,10,10,10,10,10,10,10
195,lille londres eurostar,train paris london,0.32,0.0,40,210,390,590,390,390,390,390,390,480,320,390
196,eurostar calais londres,train paris london,0.2,0.06,140,390,720,880,590,720,880,880,590,720,880,880
197,londre train pas cher,train paris london,0.0,0.13,0,10,20,10,10,20,10,10,10,20,10,10
198,billet de train eurostar londres paris,train paris london,0.0,0.0,10,0,10,10,10,10,10,10,10,10,10,10
199,paris londre en bus pas cher,train paris london,0.0,0.0,10,0,10,10,10,10,10,10,10,0,10,10
200,eurostar paris londres prix,train paris london,0.0,0.0,30,140,320,110,140,260,210,210,210,210,140,210
201,train londre,train paris london,3.33,0.11,70,210,390,480,480,590,590,480,390,320,320,390
202,train paris londre,train paris london,8.13,0.06,70,260,480,720,590,720,880,720,590,590,390,390
203,billet londre pas cher train,train paris london,0.0,0.0,0,0,10,10,10,10,10,10,10,10,10,10
204,paris londres trajet,train paris london,0.0,0.0,10,10,50,40,40,50,50,30,30,30,30,30
205,billet de train paris lille,train paris london,33.29,0.1,110,320,480,390,390,590,720,590,590,590,480,480
206,gare londre eurostar,train paris london,0.0,0.0,10,10,30,50,20,40,50,70,50,70,40,40
207,reserver un train,train paris london,11.85,0.11,260,480,880,1000,1000,880,1000,880,720,880,880,720
208,arrivées eurostar,train paris london,0.0,0.0,10,10,30,20,40,30,20,20,20,30,40,30
209,paris londre par train,train paris london,0.0,0.0,0,0,10,10,10,10,10,10,10,10,10,10
210,depart eurostar gare du nord,train paris london,0.0,0.0,10,10,50,40,50,50,50,40,50,40,50,50
211,paris à londres en train,train paris london,0.0,0.0,0,10,10,10,10,10,10,10,10,10,10,10
212,billet de train londres pas cher,train paris london,4.76,0.0,10,40,110,110,90,260,210,140,140,170,140,170
213,voyage londre eurostar,train paris london,0.0,0.0,0,10,10,10,10,10,10,10,10,10,10,10
214,paris londres prix,train paris london,0.0,0.0,30,50,70,70,70,70,70,50,50,40,40,40
215,paris londre pas cher train,train paris london,0.0,0.0,0,10,10,10,20,20,20,10,10,10,10,20
216,trajet paris londres,train paris london,0.54,0.17,50,110,260,320,320,320,390,320,260,260,260,260
217,voyage paris londres,train paris london,4.65,0.14,40,110,170,170,170,210,210,170,170,140,110,140
218,voyage a londre en train,train paris london,0.0,0.0,0,10,10,20,10,10,10,10,10,10,10,10
219,sncf billet eurostar,train paris london,0.0,0.06,10,10,20,10,10,20,10,10,30,10,30,10
220,eurostar gare paris,train paris london,0.0,0.0,10,30,40,50,30,50,70,70,70,50,50,50
221,paris londres tarif,train paris london,0.0,0.0,0,10,10,10,10,10,20,20,10,20,10,20
222,voyager en eurostar,train paris london,0.0,0.0,10,20,50,40,40,40,40,30,40,40,30,30
223,paris londre billet,train paris london,0.0,0.0,10,10,10,20,20,30,20,30,20,20,10,30
224,train marseille londres,train paris london,3.38,0.06,40,70,260,320,320,320,390,480,390,260,210,210
225,paris londres billet train,train paris london,0.0,0.0,0,10,10,10,10,20,20,10,10,10,10,10
226,thalys londres,train paris london,0.0,0.0,20,70,140,210,170,210,210,170,170,140,90,140
227,londre billet,train paris london,8.65,0.31,40,50,140,140,140,170,140,110,90,90,70,70
228,eurostar paris gare,train paris london,0.0,0.0,10,10,40,30,20,30,30,30,40,30,20,20
229,eurostar prix billet,train paris london,0.0,0.0,10,10,10,10,10,20,10,10,10,10,10,10
230,prix eurostar pas cher,train paris london,0.0,0.0,0,10,10,10,0,10,10,10,10,10,10,10
231,distance londres paris,train paris london,0.0,0.0,110,90,110,110,110,110,110,110,110,110,90,90
232,billet train londres pas cher,train paris london,7.43,0.14,20,50,210,170,210,260,320,210,110,170,210,210
233,place eurostar,train paris london,0.0,0.0,10,10,40,50,40,40,30,20,40,40,30,30
234,paris londres tgv pas cher,train paris london,0.0,0.0,0,10,10,20,10,40,20,30,20,30,20,10
235,billet train paris londre pas cher,train paris london,0.0,0.0,0,0,10,20,10,10,20,10,10,10,10,10
236,horaire train londres paris,train paris london,0.0,0.0,10,20,50,30,20,50,50,50,50,50,40,30
237,billet pour londres pas cher,train paris london,17.65,0.13,20,90,170,110,140,320,320,170,110,140,140,140
238,reserver eurostar pas cher,train paris london,0.0,0.0,0,10,10,10,10,10,10,10,10,10,10,10
239,paris londres eurostar horaires,train paris london,0.0,0.0,10,20,30,30,20,30,40,30,20,20,20,20
240,promos eurostar,train paris london,0.0,0.0,10,20,20,40,10,20,30,50,30,30,20,20
241,eurostar paris londres paris,train paris london,0.0,0.0,10,10,10,10,10,10,10,10,10,10,10,10
242,sncf londres paris,train paris london,3.06,0.06,10,40,40,90,50,70,110,90,50,90,70,50
243,train calais londres,train paris london,2.62,0.06,50,140,320,390,390,390,480,390,390,320,260,260
244,acheter un billet eurostar,train paris london,0.0,0.0,0,10,10,10,10,20,10,10,10,10,10,10
245,billet londre eurostar,train paris london,0.0,0.0,10,10,20,30,20,30,20,20,10,10,10,10
246,reserver billet tgv,train paris london,29.38,0.16,110,260,720,720,590,720,880,880,720,880,880,880
247,réservation eurostar sncf,train paris london,0.0,0.0,10,10,10,30,20,10,20,20,10,20,20,20
248,paris london train pas cher,train paris london,0.0,0.0,0,10,10,10,10,10,10,10,20,20,10,10
249,thalys bruxelles londres,train paris london,0.0,0.0,10,10,10,20,20,20,10,20,30,20,10,10
250,paris londres transport,train paris london,0.0,0.0,0,10,20,10,10,10,10,10,10,10,10,10
251,lyon londres eurostar,train paris london,0.32,0.06,40,110,170,260,260,260,320,210,140,110,110,110
252,paris londre en train pas cher,train paris london,0.0,0.0,0,0,10,10,10,10,20,10,10,10,10,10
253,billet eurostar aller retour,train paris london,0.0,0.0,10,10,10,10,10,10,10,10,10,10,10,10
254,paris londres train aller retour,train paris london,0.0,0.0,0,10,10,10,10,10,10,10,10,10,10,10
255,calais londres bus,train paris london,3.73,0.0,20,90,260,260,320,260,320,260,320,260,140,170
256,billet aller retour londre,train paris london,9.52,0.14,10,10,10,10,10,20,10,10,10,10,10,10
257,paris a londres en train,train paris london,0.0,0.0,10,0,10,10,10,0,0,10,0,10,10,10
258,londre en eurostar,train paris london,0.0,0.0,10,10,20,10,10,10,20,10,20,10,10,10
259,londres paris en train,train paris london,3.97,0.06,20,40,40,30,30,30,40,30,40,30,20,30
260,prix eurostar paris londres,train paris london,1.22,0.06,50,50,320,390,210,210,390,320,210,170,260,320
261,train eurostar horaires,train paris london,0.0,0.0,10,10,10,10,10,10,30,40,20,30,20,10
